[model]
translation_training
[time]
                                  [profile] 0-1-1-7-0-1         0.01%       1.012ms         0.09%      16.629ms       1.512ms       0.000us         0.00%      19.510ms       1.774ms           0 b           0 b       1.28 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-2-0-1         0.01%     999.000us         0.08%      14.639ms       1.331ms       0.000us         0.00%      19.497ms       1.772ms           0 b           0 b       1.29 Gb    -264.00 Mb            11  
                             [profile] 0-1-1-11-0-2-0-1         0.00%     250.000us         0.01%       1.096ms      99.636us       0.000us         0.00%      19.459ms       1.769ms           0 b           0 b     132.00 Mb           0 b            11  
                                [profile] 0-1-1-0-0-1-0         0.02%       2.782ms         0.06%      11.452ms       1.041ms       0.000us         0.00%      19.207ms       1.746ms           0 b           0 b       1.03 Gb    -462.48 Mb            11  
                                      [profile] 0-0-1-6         0.00%     815.000us         0.13%      23.745ms       2.159ms       0.000us         0.00%      19.052ms       1.732ms           0 b           0 b     542.71 Mb           0 b            11  
                                  [profile] 0-1-1-6-0-1         0.01%       1.000ms         0.09%      15.246ms       1.386ms       0.000us         0.00%      19.038ms       1.731ms           0 b           0 b       1.28 Gb    -264.56 Mb            11  
                                  [profile] 0-1-1-5-0-1         0.01%       1.015ms         0.08%      15.112ms       1.374ms       0.000us         0.00%      18.947ms       1.722ms           0 b           0 b       1.28 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-1-0-1         0.01%       1.029ms         0.09%      16.607ms       1.510ms       0.000us         0.00%      18.588ms       1.690ms           0 b           0 b       1.29 Gb    -264.00 Mb            11  
                                  [profile] 0-1-1-3-0-1         0.01%       1.031ms         0.08%      15.055ms       1.369ms       0.000us         0.00%      18.184ms       1.653ms           0 b           0 b       1.29 Gb    -264.00 Mb            11  
                                [profile] 0-1-1-9-0-1-0         0.01%       2.444ms         0.06%      11.073ms       1.007ms       0.000us         0.00%      18.147ms       1.650ms           0 b           0 b     876.68 Mb    -436.69 Mb            11  
                                  [profile] 0-1-1-4-0-1         0.01%       1.029ms         0.08%      15.050ms       1.368ms       0.000us         0.00%      18.004ms       1.637ms           0 b           0 b       1.28 Gb    -264.00 Mb            11  
                               [profile] 0-1-1-10-0-1-0         0.01%       2.473ms         0.06%      11.175ms       1.016ms       0.000us         0.00%      17.923ms       1.629ms           0 b           0 b     877.43 Mb    -446.81 Mb            11  
                             [profile] 0-1-1-11-0-2-0-0         0.00%     187.000us         0.01%       1.275ms     115.909us       0.000us         0.00%      17.850ms       1.623ms           0 b           0 b     528.00 Mb     -48.00 Mb            11  
                              [profile] 0-1-1-0-0-2-0-1         0.00%     192.000us         0.01%       1.082ms      98.364us       0.000us         0.00%      17.773ms       1.616ms           0 b           0 b     132.00 Mb     -12.00 Mb            11  
                              [profile] 0-1-1-9-0-2-0-1         0.00%     123.000us         0.01%       1.124ms     102.182us       0.000us         0.00%      17.525ms       1.593ms           0 b           0 b     132.00 Mb     -24.00 Mb            11  
